,Credit Suisse Hedge Fund Index ,Credit Suisse Convertible Arbitrage Hedge Fund Index,Credit Suisse Emerging Markets Hedge Fund Index,Credit Suisse Equity Market Neutral Hedge Fund Index,Credit Suisse Event Driven Hedge Fund Index,Credit Suisse Event Driven Distressed Hedge Fund Index,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,Credit Suisse Global Macro Hedge Fund Index,Credit Suisse Long/Short Equity Hedge Fund Index,Credit Suisse Managed Futures Hedge Fund Index,Credit Suisse Multi-Strategy Hedge Fund Index
Date,HEDG,HEDG_CVARB,HEDG_EMMKT,HEDG_EQNTR,HEDG_EVDRV,HEDG_DISTR,HEDG_MSEVD,HEDG_MRARB,HEDG_FIARB,HEDG_GLMAC,HEDG_LOSHO,HEDG_MGFUT,HEDG_MULTI
2015-7-31,0.87%,-1.04%,-2.01%,0.56%,0.18%,-0.74%,0.53%,-0.76%,0.30%,1.26%,1.52%,4.33%,1.00%
2015-6-30,-1.31%,-0.75%,-2.25%,1.55%,-1.24%,-1.22%,-1.25%,-0.17%,-0.21%,-1.76%,-0.46%,-5.81%,-0.42%
2015-5-31,0.83%,0.52%,0.37%,1.00%,0.85%,0.31%,1.04%,1.06%,0.48%,0.71%,2.15%,-0.84%,0.65%
2015-4-30,0.02%,2.73%,3.36%,-0.44%,0.85%,0.57%,0.96%,0.81%,0.63%,-0.75%,-0.02%,-4.29%,0.01%
2015-3-31,0.60%,-0.27%,0.74%,-0.21%,0.36%,0.09%,0.48%,0.04%,-0.08%,1.30%,-0.42%,2.40%,1.05%
2015-2-28,1.06%,0.95%,-0.04%,-1.90%,2.25%,1.23%,2.67%,1.50%,0.74%,0.42%,1.99%,-1.15%,0.72%
2015-1-31,0.81%,-0.21%,0.66%,-0.37%,-1.00%,-1.05%,-0.99%,-0.85%,-0.81%,2.69%,0.28%,6.02%,1.19%
2014-12-31,0.01%,-1.15%,0.19%,-0.69%,-0.55%,-0.49%,-0.57%,0.08%,-0.07%,-0.25%,0.35%,1.67%,0.41%
2014-11-30,1.50%,-0.10%,1.71%,0.57%,0.55%,0.14%,0.73%,0.57%,0.21%,1.65%,1.89%,7.50%,1.22%
2014-10-31,-0.80%,-1.79%,-1.12%,0.45%,-2.16%,-1.96%,-2.24%,-2.35%,-0.10%,-0.92%,0.01%,1.81%,-0.49%
2014-9-30,-0.01%,-0.69%,0.14%,-0.28%,-1.37%,-0.70%,-1.65%,-1.49%,0.42%,0.54%,-0.18%,1.72%,0.98%
2014-8-31,0.88%,-0.28%,0.31%,-0.02%,0.12%,-0.48%,0.38%,0.22%,0.18%,1.13%,1.29%,5.02%,0.83%
2014-7-31,-0.31%,0.06%,0.45%,-0.70%,-0.59%,-0.19%,-0.77%,-1.40%,0.30%,-0.01%,-0.97%,-1.03%,0.13%
2014-6-30,0.96%,0.05%,1.14%,0.70%,1.66%,1.41%,1.77%,1.27%,0.40%,0.53%,1.01%,1.54%,0.45%
2014-5-31,1.13%,-0.52%,1.35%,-0.27%,1.07%,1.45%,0.90%,0.56%,0.45%,1.02%,1.51%,3.09%,0.89%
2014-4-30,-0.21%,0.33%,-0.58%,-0.70%,0.03%,0.37%,-0.14%,0.55%,0.44%,0.01%,-1.03%,0.42%,-0.43%
2014-3-31,-0.48%,0.22%,-1.51%,-0.59%,-0.14%,0.60%,-0.48%,-0.68%,0.41%,-0.24%,-1.19%,-1.82%,-0.26%
2014-2-28,1.72%,0.14%,1.79%,0.26%,2.75%,2.04%,3.08%,0.93%,0.66%,0.69%,2.88%,0.94%,1.41%
2014-1-31,-0.29%,2.09%,-2.27%,0.08%,0.29%,0.40%,0.24%,0.49%,1.00%,-1.05%,-0.08%,-3.42%,0.81%
2013-12-31,1.19%,0.54%,1.28%,1.30%,1.61%,1.94%,1.47%,0.39%,0.18%,0.71%,1.80%,0.10%,1.63%
2013-11-30,1.31%,-0.20%,1.08%,2.59%,1.68%,1.55%,1.74%,0.10%,0.50%,1.03%,1.85%,2.09%,0.86%
2013-10-31,1.59%,0.92%,2.01%,1.17%,1.45%,1.53%,1.41%,0.57%,0.61%,1.01%,2.54%,2.96%,1.77%
2013-9-30,1.27%,0.24%,1.28%,0.91%,1.45%,1.38%,1.49%,0.81%,0.51%,0.84%,2.64%,-0.15%,1.42%
2013-8-31,-0.54%,0.72%,-0.24%,-1.72%,-0.04%,-0.48%,0.16%,0.01%,0.21%,-0.92%,-1.11%,-2.77%,0.08%
2013-7-31,0.88%,-0.08%,-0.09%,2.02%,1.51%,1.31%,1.61%,0.99%,0.38%,0.26%,1.95%,-1.06%,1.16%
2013-6-30,-1.66%,-0.33%,-2.64%,0.57%,-1.31%,-0.86%,-1.53%,0.17%,-1.14%,-2.48%,-0.63%,-5.42%,-0.74%
2013-5-31,0.42%,1.30%,-0.20%,0.40%,2.27%,2.38%,2.23%,0.80%,0.01%,-0.05%,1.19%,-4.98%,0.37%
2013-4-30,1.39%,0.14%,1.62%,1.01%,1.20%,1.34%,1.13%,0.65%,0.34%,1.77%,1.26%,3.50%,1.09%
2013-3-31,1.21%,0.72%,0.55%,0.05%,2.11%,2.18%,2.08%,0.39%,0.61%,0.97%,1.38%,1.74%,0.62%
2013-2-28,0.24%,-0.07%,0.49%,-1.28%,0.46%,1.04%,0.19%,-0.06%,0.49%,0.29%,0.12%,-0.77%,0.38%
2013-1-31,2.07%,2.01%,3.45%,1.99%,2.15%,1.69%,2.39%,-0.03%,1.06%,0.88%,3.54%,2.67%,2.07%
2012-12-31,1.48%,1.38%,2.38%,0.86%,1.98%,1.91%,2.01%,1.51%,0.68%,1.27%,1.58%,1.08%,1.37%
2012-11-30,0.64%,0.22%,1.10%,0.39%,0.30%,0.26%,0.31%,1.05%,0.48%,0.72%,0.73%,0.58%,1.00%
2012-10-31,-0.18%,0.25%,0.35%,-0.42%,0.91%,1.03%,0.88%,-0.77%,0.87%,-0.73%,-0.21%,-4.64%,0.34%
2012-9-30,1.04%,0.40%,2.21%,0.56%,1.67%,1.78%,1.62%,0.41%,1.26%,0.60%,1.57%,-1.37%,0.80%
2012-8-31,0.84%,0.44%,0.84%,1.25%,1.18%,0.88%,1.32%,0.52%,1.02%,0.38%,1.51%,-1.55%,1.36%
2012-7-31,1.42%,0.86%,0.96%,-0.40%,0.74%,0.95%,0.66%,-0.51%,1.62%,2.14%,0.55%,4.68%,1.28%
2012-6-30,-0.40%,0.33%,-0.13%,0.93%,-0.18%,-0.23%,-0.16%,0.53%,0.76%,-1.37%,0.35%,-3.56%,0.48%
2012-5-31,-1.33%,-0.84%,-3.79%,-3.18%,-1.32%,-1.24%,-1.36%,-1.53%,0.24%,0.19%,-4.53%,2.38%,-1.17%
2012-4-30,-0.04%,-0.23%,0.15%,-0.41%,-0.23%,0.14%,-0.41%,-0.47%,0.69%,-0.25%,-0.46%,0.43%,0.58%
2012-3-31,0.05%,0.55%,-0.70%,-0.15%,0.79%,1.48%,0.45%,0.18%,0.74%,-0.43%,0.50%,-2.96%,0.45%
2012-2-29,1.61%,1.88%,2.92%,1.33%,1.58%,1.89%,1.43%,0.92%,1.00%,0.79%,2.64%,1.21%,1.72%
2012-1-31,2.34%,2.36%,3.74%,0.17%,2.80%,2.40%,3.03%,0.97%,1.17%,1.22%,3.91%,1.15%,2.47%
2011-12-31,-0.22%,0.62%,-0.70%,-0.49%,-0.81%,-0.05%,-1.25%,-0.39%,0.38%,0.43%,-0.88%,0.79%,0.14%
